InterZone,MMWard,Council,SPConst,CHP,HBCode
S02001642,S13002595,S12000036,S16000106,S03000042,S08000024
S02001643,S13002595,S12000036,S16000106,S03000042,S08000024
S02001644,S13002594,S12000036,S16000106,S03000042,S08000024
S02001645,S13002594,S12000036,S16000106,S03000042,S08000024
S02001646,S13002594,S12000036,S16000106,S03000042,S08000024
S02001647,S13002594,S12000036,S16000106,S03000042,S08000024
S02001648,S13002594,S12000036,S16000106,S03000042,S08000024
S02001649,S13002594,S12000036,S16000106,S03000042,S08000024
S02001650,S13002586,S12000036,S16000106,S03000042,S08000024
S02001651,S13002586,S12000036,S16000106,S03000042,S08000024
S02001652,S13002587,S12000036,S16000106,S03000042,S08000024
S02001653,S13002594,S12000036,S16000106,S03000042,S08000024
S02001654,S13002594,S12000036,S16000106,S03000042,S08000024
S02001655,S13002593,S12000036,S16000104,S03000042,S08000024
S02001656,S13002593,S12000036,S16000104,S03000042,S08000024
S02001657,S13002593,S12000036,S16000104,S03000042,S08000024
S02001658,S13002587,S12000036,S16000104,S03000042,S08000024
S02001659,S13002587,S12000036,S16000104,S03000042,S08000024
S02001660,S13002593,S12000036,S16000104,S03000042,S08000024
S02001661,S13002588,S12000036,S16000104,S03000042,S08000024
S02001662,S13002588,S12000036,S16000104,S03000042,S08000024
S02001663,S13002587,S12000036,S16000104,S03000042,S08000024
S02001664,S13002587,S12000036,S16000109,S03000042,S08000024
S02001665,S13002587,S12000036,S16000109,S03000042,S08000024
S02001666,S13002586,S12000036,S16000106,S03000042,S08000024
S02001667,S13002586,S12000036,S16000106,S03000042,S08000024
S02001668,S13002586,S12000036,S16000106,S03000042,S08000024
S02001669,S13002586,S12000036,S16000106,S03000042,S08000024
S02001670,S13002586,S12000036,S16000106,S03000042,S08000024
S02001671,S13002586,S12000036,S16000109,S03000042,S08000024
S02001672,S13002583,S12000036,S16000109,S03000042,S08000024
S02001673,S13002583,S12000036,S16000109,S03000042,S08000024
S02001674,S13002583,S12000036,S16000109,S03000042,S08000024
S02001675,S13002585,S12000036,S16000109,S03000042,S08000024
S02001676,S13002585,S12000036,S16000109,S03000042,S08000024
S02001677,S13002585,S12000036,S16000109,S03000042,S08000024
